,0
0,51
1,45
2,20
3,45
4,39
5,20
6,20
7,42
8,25
9,20
10,19
11,19
12,20
13,19
14,33
15,19
16,20
17,33
18,49
19,19
20,19
21,19
22,19
23,20
24,51
25,19
26,4
27,19
28,19
29,20
30,40
31,19
32,1
33,19
34,51
35,51
36,19
37,19
38,19
39,20
40,20
41,29
42,19
43,22
44,10
45,17
46,37
47,22
48,23
49,19
50,19
51,13
52,51
53,19
54,1
55,19
56,37
57,23
58,20
59,19
60,19
61,20
62,20
63,21
64,19
65,52
66,39
67,20
68,19
69,19
70,20
71,19
72,28
73,28
74,20
75,19
76,51
77,20
78,19
79,3
80,23
81,20
82,19
83,29
84,20
85,46
86,25
87,52
88,51
89,19
90,19
91,43
92,19
93,19
94,20
95,52
96,19
97,19
98,29
99,22
100,20
101,18
102,20
103,18
104,19
105,28
106,5
107,20
108,19
109,19
110,45
111,22
112,11
113,22
114,19
115,19
116,0
117,41
118,4
119,20
120,7
121,44
122,20
123,22
124,20
125,19
126,19
127,38
128,19
129,6
130,34
131,28
132,48
133,51
134,22
135,28
136,22
137,16
138,19
139,13
140,19
141,22
142,19
143,20
144,53
145,45
146,51
147,22
148,22
149,19
150,22
151,19
152,45
153,19
154,28
155,19
156,20
157,39
158,19
159,19
160,28
161,19
162,32
163,19
164,42
165,30
166,23
167,45
168,28
169,19
170,19
171,20
172,32
173,52
174,6
175,19
176,28
177,18
178,20
179,40
180,28
181,23
182,45
183,51
184,22
185,7
186,36
187,44
188,20
189,13
190,22
191,32
192,45
193,20
194,39
195,19
196,19
197,20
198,20
199,27
200,19
201,11
202,19
203,20
204,19
205,20
206,32
207,18
208,20
209,7
210,5
211,20
212,18
213,20
214,32
215,39
216,44
217,20
218,39
219,20
220,19
221,19
222,34
223,19
224,7
225,20
226,22
227,20
228,1
229,19
230,13
231,20
232,44
233,22
234,22
235,5
236,14
237,20
238,32
239,1
240,35
241,32
242,18
243,19
244,23
245,51
246,19
247,24
248,20
249,10
250,46
251,20
252,20
253,7
254,1
255,19
256,15
257,20
258,13
259,19
260,20
261,51
262,19
263,32
264,51
265,19
266,33
267,18
268,23
269,19
270,20
271,39
272,19
273,19
274,20
275,20
276,32
277,40
278,19
279,45
280,19
281,23
282,51
283,19
284,22
285,22
286,32
287,39
288,20
289,20
290,22
291,37
292,22
293,13
294,19
295,20
296,37
297,18
298,19
299,20
300,51
301,20
302,32
303,20
304,19
305,20
306,39
307,13
308,23
309,20
310,19
311,22
312,19
313,39
314,19
315,22
316,22
317,19
318,33
319,19
320,19
321,20
322,22
323,19
324,44
325,20
326,32
327,19
328,19
329,19
330,20
331,20
332,22
333,32
334,32
335,22
336,39
337,37
338,19
339,22
340,20
341,44
342,20
343,19
344,44
345,22
346,28
347,36
348,51
349,32
350,22
351,20
352,33
353,28
354,22
355,19
356,19
357,51
358,51
359,28
360,20
361,19
362,53
363,20
364,20
365,23
366,19
367,20
368,19
369,19
370,31
371,20
372,20
373,19
374,19
375,30
376,20
377,47
378,28
379,22
380,19
381,51
382,20
383,45
384,42
385,19
386,33
387,27
388,19
389,32
390,13
391,19
392,18
393,20
394,19
395,20
396,19
397,37
398,19
399,5
400,13
401,9
402,19
403,19
404,39
405,28
406,32
407,20
408,45
409,19
410,16
411,20
412,34
413,22
414,51
415,19
416,38
417,13
418,45
419,38
420,19
421,26
422,20
423,22
424,28
425,20
426,42
427,1
428,20
429,47
430,19
431,20
432,45
433,19
434,45
435,19
436,19
437,20
438,19
439,18
440,28
441,13
442,11
443,29
444,20
445,20
446,19
447,19
448,8
449,38
450,20
451,20
452,23
453,20
454,29
455,19
456,25
457,45
458,19
459,18
460,19
461,19
462,51
463,2
464,20
465,22
466,18
467,20
468,5
469,19
470,13
471,23
472,19
473,39
474,19
475,28
476,20
477,16
478,45
479,22
480,20
481,19
482,19
483,20
484,50
485,20
486,51
487,37
488,35
489,52
490,20
491,22
492,20
493,39
494,33
495,19
496,19
497,13
498,19
499,28
500,19
501,39
502,20
503,20
504,19
505,16
506,25
507,0
508,45
509,22
510,14
511,29
512,19
513,19
514,12
515,44
516,32
517,35
518,22
519,19
520,22
521,22
522,20
523,5
524,20
525,24
526,20
527,19
528,52
529,39
530,51
531,44
532,20
533,19
534,39
535,45
536,18
537,39
538,20
539,6
540,20
541,37
542,19
543,20
544,19
545,23
546,28
547,40
548,22
549,20
550,19
551,19
552,22
553,19
554,36
555,22
556,19
557,37
558,19
559,6
560,19
561,19
562,20
563,32
564,19
